,Title,Date,Summary,Rating,Metascore
213,"Yalda, a Night for Forgivness","Dec 11, 2020","The lights and cameras are all in position. The moderator takes a last quick look at his notes. The final seconds of the intro ad roll by, and then the show goes live. Tonight’s guest is Maryam, a young woman condemned to death for murdering her husband. With her in the studio is Mona, the daughter of the dead man. Maryam is supposed to beg for forgiveness, and her life, for the camera. If Mona grants her forgiveness, Maryam will live, and the show's sponsors will pay Mona a reward. If she denies it, Maryam will die. Millions of television viewers are tuning in on the night of Yalda, the Persian celebration of the winter solstice, to see Maryam's fate unfold. Alluding to a real, popular Iranian TV show, the television studio serves as a stage for a startling chamber play between these two women, and the social pressures behind their circumstances. [Film Movement]",Not Rated,69
214,The Trip to Greece,"May 22, 2020","When Odysseus left Troy it took him ten years to get back to his home in Ithaca. Steve and Rob have only six days on their own personal odyssey in The Trip to Greece. On the way they argue about tragedy and comedy, astronomy and biology, myth, history, democracy and the meaning of life! Featuring locations such as: Temple of Apollo at Delphi, the Ancient Agora of Athens, the Ancient Theatre of Epidaurus, the unique island of Hydra, the Caves of Diros, Nestor’s Palace, Niokastro Fortress in Pylos, and Ancient Stagira, as well as a lot of shooting in restaurants and hotels in Athens, Hydra, Lesvos, Chalkidiki, Pelion, Kavala, and at the Peloponnese.",Not Rated,69
215,Tenet,"Sep 3, 2020","Armed with only one word - Tenet - and fighting for the survival of the entire world, the Protagonist (John David Washington) journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time. Not time travel. Inversion.",PG-13,69
216,Suzi Q,"Jul 1, 2020","Before Suzi Quatro burst on the music world in 1973, there were almost no women in rock, and absolutely none who played bass and sang lead vocals and led the band and rocked out and reached millions of people around the world, re-writing the rule book for the expected image of women in rock & roll.  Singer, songwriter, bass player, bandleader, actress, radio-presenter, poet – there is only one Suzi Q, the pint-sized, leather-clad rocker who has sold more than 50 million records and in 2019 released a new album, celebrating 53 years as a working musician.",Not Rated,69
217,Selah and The Spades,"Apr 17, 2020","In the closed world of Haldwell, an elite Pennsylvania boarding school, the student body is run by five factions. Seventeen-year-old Selah Summers (Lovie Simone) runs the most dominant group, the Spades, with unshakable poise, as they cater to the most classic of vices and supply students with coveted, illegal alcohol and pills. Tensions between the factions escalate, and when Selah’s best friend/right hand Maxxie (Jharrel Jerome) becomes distracted by a new love, Selah takes on a protégée, enamored sophomore Paloma (Celeste O'Connor), to whom she imparts her wisdom on ruling the school. But with graduation looming and Paloma proving an impressively quick study, Selah’s fears turn sinister as she grapples with losing the control by which she defines herself.",R,69
218,The Mortuary Collection,"Oct 15, 2020","On the cusp of retirement, an eccentric mortician recounts several of the strangest stories he’s encountered in his long career, but things take a turn for the phantasmagorical when he learns that the final story… is his own.",Not Rated,69
219,Happiest Season,"Nov 25, 2020","Meeting your girlfriend's family for the first time can be tough. Planning to propose at her family's annual Christmas dinner - until you realize that they don't even know she's gay - is even harder. When Abby (Kristen Stewart) learns that Harper (Mackenzie Davis) has kept their relationship a secret from her family, she begins to question the girlfriend she thought she knew.",PG-13,69
220,Get Duked!,"Aug 28, 2020","Set deep in the Scottish Highlands, Get Duked (formerly titled ""Boyz In The Wood"") is an anarchic satire of generational politics, hip-hop loving farmers and hallucinogenic rabbit shites that puts the youth of tomorrow against the status quo of yesterday.
",R,69
221,I Used to Go Here,"Jul 31, 2020","Following the lackluster launch of her debut novel, 35-year-old writer Kate Conklin (Gillian Jacobs) receives an invitation from her former professor and old crush (Jemaine Clement) to speak at her alma mater.  With her book tour canceled and her ego deflated, Kate decides to take the trip, wondering if returning to her old college as a published author might give her the morale boost she sorely needs.  Instead, she falls into a comical regression – from misadventures with eccentric twenty-year-olds to feelings of jealousy toward her former professor’s new favorite student. Striking the balance between bittersweet and hilarious, Kate takes a journey through her past to redefine her future. ",Not Rated,68
222,"Family Romance, LLC","Jul 3, 2020","Love is a business at Family Romance, a company that rents human stand-ins for any occasion. Founder Yuichi Ishii helps make his clients’ dreams come true. But when the mother of 12-year-old Mahiro hires Ishii to impersonate her missing father, the line between acting and reality threatens to blur.",Not Rated,68
223,Class Action Park,"Aug 27, 2020","Class Action Park is the first-ever feature-length documentary to explore the legend, legacy, and truth behind a place that long ago entered the realm of myth. To some, New Jersey's infamous Action Park was the most spectacularly fun amusement park on Earth: A place where unruly 1980s teenagers were given free rein to go gonzo on strange contraptions that seemed to violate the laws of common sense (and perhaps physics). To others, it was an ill-conceived death trap. One thing is sure: It's the type of place that will never exist again. Shirking the trappings of nostalgia, the film uses investigative journalism, newly unearthed and never-before-seen documents and recordings, original animations, and interviews with the people who lived it to reveal the true story for the first time. [HBO Max]",Not Rated,68
224,Mr. Jones,"Jun 19, 2020","Agnieszka Holland’s thriller, set on the eve of WWII, sees Hitler’s rise to power and Stalin’s Soviet propaganda machine pushing their “utopia” to the Western world. Meanwhile an ambitious young journalist, Gareth Jones (James Norton) travels to Moscow to uncover the truth behind the propaganda, but then gets a tip that could expose an international conspiracy, one that could cost him and his informant their lives. Jones goes on a life-or-death journey to uncover the truth behind the façade that would later inspire George Orwell’s seminal book Animal Farm. [Samuel Goldwyn Films]",Not Rated,68
